polled_at_utc,polled_at_pacific,route,date,source,cabin,old_seats,new_seats,airlines,source_updated_at
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,american,F,none,0,,2026-08-13T16:39:16.604182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,Y,none,3,AY,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,W,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,J,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,F,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,Y,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,W,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,J,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,F,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qatar,Y,none,0,,2026-08-12T23:33:14.139803Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qatar,W,none,0,,2026-08-12T23:33:14.139803Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qatar,J,none,0,,2026-08-12T23:33:14.139803Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qatar,F,none,0,,2026-08-12T23:33:14.139803Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,american,Y,none,0,,2026-08-14T10:51:54.991385Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,american,W,none,0,,2026-08-14T10:51:54.991385Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,american,J,none,0,,2026-08-14T10:51:54.991385Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,american,F,none,0,,2026-08-14T10:51:54.991385Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,alaska,Y,none,0,,2026-08-14T16:00:39.400932Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,alaska,W,none,0,,2026-08-14T16:00:39.400932Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,alaska,J,none,0,,2026-08-14T16:00:39.400932Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,alaska,F,none,0,,2026-08-14T16:00:39.400932Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,finnair,Y,none,4,AY,2026-07-23T06:03:51.079768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,finnair,W,none,2,AY,2026-07-23T06:03:51.079768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,finnair,J,none,0,,2026-07-23T06:03:51.079768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,finnair,F,none,0,,2026-07-23T06:03:51.079768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qantas,Y,none,4,AY,2026-08-14T17:05:27.889804Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qantas,W,none,0,,2026-08-14T17:05:27.889804Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qantas,J,none,0,,2026-08-14T17:05:27.889804Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qantas,F,none,0,,2026-08-14T17:05:27.889804Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,alaska,Y,none,4,AY,2026-08-14T16:03:03.292787Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,alaska,W,none,9,AY,2026-08-14T16:03:03.292787Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,alaska,J,none,1,AY,2026-08-14T16:03:03.292787Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,alaska,F,none,0,,2026-08-14T16:03:03.292787Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qatar,Y,none,4,AY,2026-08-13T16:39:15.512763Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qatar,W,none,0,,2026-08-13T16:39:15.512763Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qatar,J,none,0,,2026-08-13T16:39:15.512763Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-10,qatar,F,none,0,,2026-08-13T16:39:15.512763Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,finnair,Y,none,0,,2026-07-23T05:48:44.470199Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,finnair,W,none,0,,2026-07-23T05:48:44.470199Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,finnair,J,none,0,,2026-07-23T05:48:44.470199Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,finnair,F,none,0,,2026-07-23T05:48:44.470199Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qantas,Y,none,0,,2026-08-14T17:03:20.389322Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qantas,W,none,0,,2026-08-14T17:03:20.389322Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qantas,J,none,0,,2026-08-14T17:03:20.389322Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qantas,F,none,0,,2026-08-14T17:03:20.389322Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qatar,Y,none,0,,2026-08-13T02:14:52.456188Z
